,Taxon,states,Locomotor Mode Notes,Source (Author; Title; Year),Scoring_1,Locomotor type,Add. Notes,Geographic Region,Taxon_Loc1,Taxon_Loc2,Taxon_clade,Geo_1,Multiple_Geo,Total Length,Head/Body Length,Tail Length,TAIL_Index,Hind Foot Length,Ear Length,Adult.mass.g,Tail/Body ratio,HindFoot/Body ratio,litter size,Genus,Species,"Mass(from lit, not averages)",Sequence_data _NOT UPDATED
Niviventer_lepturus,Niviventer_lepturus,C,Elton Traits,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 833",,,,Java,,,,3,,,,,#DIV/0!,,,84.8,#DIV/0!,#DIV/0!,NA,Niviventer,lepturus,84.8,Y
Dasymys_montanus,Dasymys_montanus,T,"Habitat: afroalpine and subalpine habitats such as dense grassy slopes, fern-covered glades, sphagnum moss--lobelia bogs, and open moorland","Kingdon, Mammals of Africa p. 397",2,,,Africa,,,,8,,247.2,144.6,102.6,0.415048544,29.9,17.9,84.9,0.709543569,0.206777317,2.585,Dasymys,montanus,84.9,N
Arvicanthis_neumanni,Arvicanthis_neumanni,T,"Terrestrial, excavate burrows.","Kingdon, Mammals of Africa p. 386",2,,,Africa,,,,8,,246.5,146,100.5,0.407707911,27.5,10.3,85,0.688356164,0.188356164,NA,Arvicanthis,neumanni,85,Y
Leptomys_elegans,Leptomys_elegans,T,purely terrestrial,"Flannery, Mammals of New Guniea p.241",2,,,New Guinea ,3,1,1,5,,299.4,151.8,147.6,0.492985972,38.5,20.9,85.46,0.972332016,0.253623188,1.88,Leptomys,elegans,87.4,Y
Paramelomys_levipes,Paramelomys_levipes,T,Elton Traits,"Flannery, Mammals of New Guniea p.297",,,"This may have been split into two species, with one occuring in New Britian. In process of looking up that species name. long hindfoot.",New Guinea,3,,1,5,,281.7,144,137.7,0.488817891,34.4,18.4,85.605,0.95625,0.238888889,1.515,Paramelomys,levipes,88.4,Y
Melomys_bougainville,Melomys_bougainville,T,Elton Traits,"Flannery, Mammals of the South-West Pacific & Moluccan Islands p. 131",,,Poorly known species,"Bougainville, Buka, Choiseul",3,,1,5,,289,149,140,0.484429066,27.3,14.3,85.995,0.939597315,0.183221477,2.085,Melomys,bougainville,86,N
Hybomys_basilii,Hybomys_basilii,T,Terrestrial,"Kingdon, Mammals of Africa p. 423",2,,,Africa,,,,8,,251.3,137,114.3,0.454834859,31.2,17.2,86.2,0.834306569,0.227737226,2.4,Hybomys,basilii,86.2,N
Tateomys_rhinogradoides,Tateomys_rhinogradoides,T,The morphology of T. rhinogradoides suggest that it is terrestrial / trapped on the ground in an especially dense part of the cloud forest. Found many burrows in the general vicinity of trapline. Probably spends most of its time scampering across the forest floor ,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 783 / Musser, Novitates #2384 Results of the Archbold Expeditions. No.91 p. 19-20, 32. Measurements from Rowe, Achmade, Esselstyn 2014",2,,,central Sulawesi,2,,2,4,,308.5,145.5,163,0.528363047,37.25,22,86.5,1.120274914,0.256013746,NA,Tateomys,rhinogradoides,86.5,Y
Melomys_frigicola,Melomys_frigicola,T,Elton Traits,,,,,,3,,1,4,,,,,#DIV/0!,,,86.68,#DIV/0!,#DIV/0!,2.5,Melomys,frigicola,86.68,N
Melomys_lutillus,Melomys_lutillus,C,"scansorial, nests above ground in clumps of grass","Flannery, Mammals of New Guniea p.300",1,,"This may have been split into two species, with one occuring in Louisiade Archipelago. In process of looking up that species name.",New Guinea,3,,1,5,,220,103,117,0.531818182,24.9,15.6,86.68,1.13592233,0.241747573,2.5,Melomys,lutillus,86.68,N
Melomys_paveli,Melomys_paveli,T,Elton Traits,,,,,Seram,3,,1,4,,251,123,128,0.509960159,26.2,14.6,86.68,1.040650407,0.21300813,2.085,Melomys,paveli,86.68,N
Melomys_talaudium,Melomys_talaudium,A,"It was probably arboreal, which judging from its long tail, is most likely correct","Flannery, Mammals of the South-West Pacific & Moluccan Islands p. 147",1,,,Talaud Islands,3,,1,4,,345,174,171,0.495652174,-,14.7,86.68,0.982758621,#VALUE!,2.075,Melomys,talaudium,86.68,N
Melomys_obiensis,Melomys_obiensis,C,"Was observed eating the fruit of Piper aduncum up to three metres above the ground. Some indivuals were trapped on the ground, among rocks and ferns on the creek bank.","Flannery, Mammals of the South-West Pacific & Moluccan Islands p. 142",1,,,"Bisa, Obi",3,,1,4,,302.9,127.9,175,0.577748432,29,15.1,87.33333333,1.36825645,0.22673964,5.88,Melomys,obiensis,74,N
Oenomys_hypoxanthus,Oenomys_hypoxanthus,C,"Terrestrial, but also climbs in small bushes and on thick grasses; most activity is probably above ground rather than on the ground. Nests are usually constructed at 50-300 cm above ground, and are attached between thick stems of grasses or on forks or twigs of shrubs","Kingdon, Mammals of Africa p. 511",1,,,Africa,,,,8,,330.1,158.8,171.3,0.518933657,32,19.5,88.42,1.078715365,0.201511335,3.0875,Oenomys,hypoxanthus,87,Y
Halmaheramys_bokimekot,Halmaheramys_bokimekot,T,Terrestrial,"Fabre, A new genus of rodent from Wallacea (Rodentia:Muridae: Murinae: Rattini), and its implication forbiogeography and Indo-Pacific Rattini systematics p. 426",2,,,Indonesia ,2,,2,4,,275,149,126,0.458181818,29.6,18.9,89.7,0.845637584,0.198657718,NA,Halmaheramys,bokimekot,89.7,Y
Maxomys_inas,Maxomys_inas,T,terrestrial,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 834 / Francis, A Guide to the Mammals of Southeast Asia p. 367 / Pimsai et al Leopoldamys etc  / IUCN map",2,,,Malay Peninsula,,,,3,,296.7,147.5,149.2,0.502864847,32,20.8,89.99,1.011525424,0.216949153,2.91,Maxomys,inas,90,N
Notomys_mordax,Notomys_mordax,T,Hopping mosue,"Strahan, Complete Book of Australian Mammals p. 436 / Van Dyck and Strahan, The Mammals of Australia 3rd edition",2,,Extinct,Australia,3,,1,6,,,,,#DIV/0!,,,89.99,#DIV/0!,#DIV/0!,NA,Notomys,mordax,90,N
Chiromyscus_thomasi,Chiromyscus_thomasi,A,Thought to be arboreal,Balakirev et al 2014 Chiromyscus,1,,,Vietnam,,,,2,,377.5,162.5,215,0.569536424,28,19,90,1.323076923,0.172307692,NA,Chiromyscus,thomasi,,Y
Otomys_burtoni,Otomys_burtoni,T,Habitat: Montane wetlands,"Kingdon, Mammals of Africa p. 580",2,,Type specimen collected at 2100 m,Africa,,,,8,,234,156,78,0.333333333,30,24,90,0.5,0.192307692,1.78,Otomys,burtoni,90,Y
Pseudomys_gracilicaudatus,Pseudomys_gracilicaudatus,T,"Optimal habitat is provided by regenerating vegetation / It has been recorded from open woodland and eucalypt forest, often with a grassy understorey, wet heathland, and swampy areas. It is largely associated with newly regenerating heath vegetation ","Strahan, Complete Book of Australian Mammals p. 400 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 820 / Van Dyck and Strahan, The Mammals of Australia 3rd edition / Watts Rodents of Australia",2,,,Australia,3,,1,6,,240,130,110,0.458333333,28,18,90,0.846153846,0.215384615,2.9325,Pseudomys,gracilicaudatus,118,Y
Aethomys_nyikae,Aethomys_nyikae,T,Terrestrial,"Kingdon, Mammals of Africa p. 374",2,,,Africa,,,,8,,309.2,143.4,165.8,0.53622251,28.6,20.6,90.2,1.156206416,0.19944212,3.56,Aethomys,nyikae,90.2,Y
Oenomys_ornatus,Oenomys_ornatus,T,Elton Traits,"Kingdon, Mammals of Africa p. 512",,,,Africa,,,,8,,332,143,189,0.569277108,33.5,18.5,90.25,1.321678322,0.234265734,3.365,Oenomys,ornatus,95,N
Mastomys_natalensis,Mastomys_natalensis,T,Terrestrial,"Kingdon, Mammals of Africa p. 469",2,,,Africa,,,,8,,216,108,108,0.5,22.3,17.2,90.425,1,0.206481482,8.9125,Mastomys,natalensis,139,Y
Rattus_verecundus,Rattus_verecundus,T,found in rainforests to gardens to caves. no climbing,"Flannery, Mammals of New Guniea p.345",2,,Syn. Stenomys verecundus,New Guinea,3,,2,5,,318.4,157.7,160.7,0.504711055,32.8,18.4,90.51,1.019023462,0.207989854,2.15,Rattus,verecundus,84,Y
Paramelomys_moncktoni,Paramelomys_moncktoni,T,largely terrestrial,"Flannery, Mammals of New Guniea p.303 / Flannery, Mammals of the South-West Pacific & Moluccan Islands p. 141",2,,Syn. Melomys moncktoni,"New Guinea / Japen, Sideia",3,,1,5,,289,153,136,0.470588235,30.4,19.9,90.78,0.888888889,0.198692811,2.1125,Paramelomys,moncktoni,101,N
Rattus_losea,Rattus_losea,C,"Trapped in the trees as well as beneath them, on the network of aerial roots/ found mainly in gardens and rice fields/ Terrestrial","Lekagul and McNeely, Mammals of Thailand p. 466 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 788 / Smith and Xie, A Guide to the Mammals of China p. 271",1,,,"Thailand/ southeastern China, Taiwan, Hainan",,,,2,,279,146,133,0.476702509,30,17,90.815,0.910958904,0.205479452,NA,Rattus,losea,77,Y
Arvicanthis_nairobae,Arvicanthis_nairobae,T,Do not climb well but are extremely fast runners,"Kingdon, Mammals of Africa p. 385",2,,,Africa,,,,8,,239,138,101,0.422594142,26,17,91,0.731884058,0.188405797,NA,Arvicanthis,nairobae,91,Y
Melomys_dollmani,Melomys_dollmani,A,arboreal species,"Flannery, Mammals of New Guniea",1,,,New Guinea,3,,1,5,,,,,#DIV/0!,,,91.27,#DIV/0!,#DIV/0!,2.085,Melomys,dollmani,91.27,N
Aethomys_stannarius,Aethomys_stannarius,T,"Habitat: grassland, woodland savanna, bush, cultivted areas and forest edges where there is moderate to dense cover./ terrestrial","Kingdon, Mammals of Africa p. 376 / Boitani, L., Taylor, P.J. & Agwanda, B. 2008. Aethomys stannarius. The IUCN Red List of Threatened Species 2008: e.T575A13065140. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T575A13065140.en.",2,,,Africa,,,,8,,300,148,152,0.506666667,31,22,92,1.027027027,0.20945946,NA,Aethomys,stannarius,92,N
Apomys_sierrae,Apomys_sierrae,C,Nearly all were captured on the ground surface,"Heany, The Mammals of Luzon Island pg. 150",2,,,Philippines,1,,2,9,,277,141,136,0.490974729,36.5,19.5,92,0.964539007,0.258865248,NA,Apomys,sierrae,92,Y
Otomys_typus,Otomys_typus,T,Terrestrial. ,"Kingdon, Mammals of Africa p. 593",2,,,Africa,,,,8,,214,147,67,0.313084112,24,22,92.1,0.455782313,0.163265306,1.65,Otomys,typus,92.1,N
Stenocephalemys_griseicauda,Stenocephalemys_griseicauda,T,grassland species,"Kingdon, Mammals of Africa p. 552",2,,,Africa,,,,8,,296,154,142,0.47972973,30,24,92.375,0.922077922,0.194805195,NA,Stenocephalemys,griseicauda,99,Y
Paramelomys_mollis,Paramelomys_mollis,T,terrestrial,"Flannery, Mammals of New Guniea p.301",2,,Syn. Melomys mollis (IUCN redlist),New Guinea,3,,1,5,,273,144,129,0.472527473,32.9,17.8,92.575,0.895833333,0.228472222,1.605,Paramelomys,mollis,95.1,N
Aethomys_kaiseri,Aethomys_kaiseri,T,Terrestrial,"Kingdon, Mammals of Africa p. 371",2,,,Africa,,,,8,,266.2,146.5,119.7,0.449661908,25.2,22.7,92.745,0.817064846,0.172013652,2.95,Aethomys,kaiseri,95.5,Y
Arvicanthis_abyssinicus,Arvicanthis_abyssinicus,T,Terrestrial,"Kingdon, Mammals of Africa p. 381",2,,,Africa,,,,8,,250.9,140.5,110.4,0.440015943,26.4,17.6,92.87,0.785765125,0.187900356,NA,Arvicanthis,abyssinicus,112.4,Y
Millardia_kathleenae,Millardia_kathleenae,T,"Terrestrial. Found in dry areas of C Myanmar, where has been recorded in scrubby areas with sandy or stony ground.","Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 829 / Francis, A Guide to the Mammals of Southeast Asia p. 365",2,,,central Burma,,,,2,,285.9,147.5,138.4,0.484085345,27.5,21.5,93,0.938305085,0.186440678,NA,Millardia,kathleenae,93,Y
Rattus_osgoodi,Rattus_osgoodi,T,We suspect R. osgoodi to be terrestrial and to live in grass and dense shrubbery providing good cover that may occur either along forest margins or scattered through forest with an open canopy.,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 787 / Musser and Newcomb 1985 Vietnam rattus osgoodi",2,,,highlands of southern Vietnam,,,,2,,258.5,138.8,119.7,0.463056093,28.1,,93,0.862391931,0.202449568,NA,Rattus,osgoodi,93,N
Niviventer_cameroni,Niviventer_cameroni,C,"Occurs in forests above 1,000m where generally found on ground","Francis, A Guide to the Mammals of Southeast Asia p. 360",2,,,Asia,,,,7,,325,150,175,0.538461539,29.5,21.5,93.5,1.166666667,0.196666667,4.41,Niviventer,cameroni,93.5,N
Zyzomys_maini,Zyzomys_maini,T,Terrestrial / rocky areas with littlw understorey,"Van Dyck and Strahan, The Mammals of Australia 3rd edition / Watts Rodents of Australia",2,,,Australia,3,,1,5,,296,150,146,0.493243243,,,93.995,0.973333333,0,2.5,Zyzomys,maini,94,Y
Pogonomys_loriae,Pogonomys_loriae,C,"large burrows, seems to eat grass stems, may climb to eat flowers","Flannery, Mammals of New Guniea p.316 / Flannery, Mammals of the South-West Pacific & Moluccan Islands p. 149",2,,,New Guinea and surrounding islands,3,,1,5,,370.3,151,219.3,0.592222522,26.6,14.9,94.745,1.452317881,0.17615894,2.4275,Pogonomys,loriae,94.1,Y
Notomys_amplus,Notomys_amplus,T,Hopping mouse with short tail and large ears ,"Strahan, Complete Book of Australian Mammals p. 436 / Van Dyck and Strahan, The Mammals of Australia 3rd edition",2,,Extinct,Australia,3,,1,6,,296,143,153,0.516891892,,,94.995,1.06993007,0,NA,Notomys,amplus,100,N
Pseudomys_oralis,Pseudomys_oralis,T,Nothing is known of its habits in the while but captive animals dig into soil and climb readily on sticks and stones /  Lives in moist forest under shrubs and ferns,"Strahan, Complete Book of Australian Mammals p. 394 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 820 / Van Dyck and Strahan, The Mammals of Australia 3rd edition / Watts Rodents of Australia",2,,,Australia,3,,1,6,,270,140,130,0.481481482,34,22,95,0.928571429,0.242857143,3.05,Pseudomys,oralis,95,Y
Maxomys_bartelsii,Maxomys_bartelsii,T,"Cursorial, adapted for life on the floor of evergreen or subevergreen forest ","Musser, Definition and contents of the Sundaic genus Maxomys (reprinted from journal of mammalogy vol.60, No.3) p. 593 ",2,,,Java,,,,3,,305,152.5,152.5,0.5,33.5,18.2,95.23,1,0.219672131,NA,Maxomys,bartelsii,102,Y
Apomys_iridensis,Apomys_iridensis,T,All were captured on the ground surface,"Heany, The Mammals of Luzon Island pg. 146",2,,,Philippines,1,,2,9,,292,147.5,144.5,0.494863014,37.5,20,96,0.979661017,0.254237288,NA,Apomys,iridensis,96,Y
Tarsomys_echinatus,Tarsomys_echinatus,T,"The short tail relative to length of head and body, long and slender hind feet,and robust long claws point to terrestrial habitsfor T. echinatus, and food acquisition by digging and scratching through leaf litter or soil.","Heaney and Musser, PHILIPPINE RODENTS:DEFINITIONS OF TARSOMYS AND LIMNOMYS PLUS A PRELIMINARY ASSESSMENT OF PHYLOGENETIC PATTERNS AMONG NATIVE PHILIPPINE MURINES (MURINAE, MURIDAE) p. 39",2,,,Mindanao,1,,3,9,,,,,#DIV/0!,,,96.2,#DIV/0!,#DIV/0!,NA,Tarsomys,echinatus,96.2,N
Malacomys_longipes,Malacomys_longipes,SA,Similar in most respects to M. edwardsi. May be more aquatic than M. edwardsi because favours moister habitats; probably spends a lot of time in small water courses in rainforest; likes to immerse body in wate. One study found an individual in vines 2 m above a stream-- an unusual observation because the feet are not adapted for climbing,"Kingdon, Mammals of Africa p. 459",2,,,Africa,,,,8,,334.4,156.7,177.7,0.531399522,39.7,25.7,96.27,1.13401404,0.253350351,2.91,Malacomys,longipes,96.9,N
Melomys_aerosus,Melomys_aerosus,A,"Notes accompanying the specimens read: '...said by natives to live in trees, trapped in heavy jungle in precipitous limestone country', '...caught in tree in heavy jungle, precipitous limeston country..., and '...lives in low trees at higher altitudes, descends to feed at night...'.","Flannery, Mammals of the South-West Pacific & Moluccan Islands p. 130",1,,,,3,,1,5,,288,150,138,0.479166667,31,18,97.3,0.92,0.206666667,1.5,Melomys,aerosus,97.3,N
Melomys_fulgens,Melomys_fulgens,A,"The male paratype bears a label stating that it was caught in a tree near the sea coast on limestone at Teloeti Bay, South Seram. This information plus the prehensile tail, suggests that it is arboreal and inhabits the lowlands.","Flannery, Mammals of the South-West Pacific & Moluccan Islands p. 134 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 811",1,,,Seram/ Talaud islands,3,,1,4,,355,150,205,0.577464789,34,17,97.3,1.366666667,0.226666667,2.075,Melomys,fulgens,97.3,N
Niviventer_brahma,Niviventer_brahma,C,"Terrestrial/ scansorial (N. brahma is an example),","Smith and Xie, A Guide to the Mammals of China p. 266 /Musser 1981 p .238",1,,,"Assam, northern Burma/ China",,,,2,,364.5,145.5,219,0.600823045,32.5,22.5,97.3,1.505154639,0.223367698,NA,Niviventer,brahma,97.3,Y
Thallomys_nigricauda,Thallomys_nigricauda,A,"Arboreal. Black-tailed Acacia Rats are agile climbers; they use the prehensible tail for balancing, and the strong claws and broad feet for climbing. ","Kingdon, Mammals of Africa p. 560",1,,,Africa,,,,8,,281.8,135,146.8,0.520936835,24.7,20.5,99.145,1.087407407,0.182962963,NA,Thallomys,nigricauda,73.8,Y
Apomys_zambalensis,Apomys_zambalensis,C,Almost never climb above the ground surface (and never more than 1 m above ground). ,"Heany, The Mammals of Luzon Island pg. 151",1,,,Philippines,1,,2,9,,302.5,162,140.5,0.46446281,37.5,21.5,99.5,0.867283951,0.231481482,NA,Apomys,zambalensis,99.5,Y
Melomys_capensis,Melomys_capensis,C,"largely scansorial species, nests in trees during the day. Many collected on the edge of forests rather than in the forests.","Strahan, Complete Book of Australian Mammals p. 378 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 811 / Van Dyck and Strahan, The Mammals of Australia 3rd edition / Watts - The Rodents of Australia",1,,,Australia/ Queensland,3,,1,6,,300,130,170,0.566666667,28,18,100,1.307692308,0.215384615,2.2,Melomys,capensis,75,Y
Niviventer_niviventer,Niviventer_niviventer,T,"Cursorial (N. niviventer and N. hinpoon, for example)",Musser 1981 Margaretomys etc / Balakirev et al 2011 Niviventer,2,,,"China, Pakistan, India, Nepal, Sikkim",,,,1,,358.5,146.5,212,0.591352859,,,100,1.447098976,0,NA,Niviventer,niviventer,100,Y
Notomys_longicaudatus,Notomys_longicaudatus,T,Hopping mouse with long tail,"Strahan, Complete Book of Australian Mammals p. 435 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 823 / Van Dyck and Strahan, The Mammals of Australia 3rd edition / Watts Rodents of Australia",2,,Probably now extinct ,"Australia/ Northern Territory, New South Wales",3,,1,6,,335,130,205,0.611940299,46,28,100,1.576923077,0.353846154,NA,Notomys,longicaudatus,100,N
Rattus_fuscipes,Rattus_fuscipes,C,has been caught in understorey,"Strahan, Complete Book of Australian Mammals p. 443 / Rader and Krockenberger 2006 Vertical habitat Australia / Rowe et al 2011 Rattus / IUCN map",2,,,Australia,3,,2,6,,301.03,155.33,145.7,0.484004917,32.37,25,100.29,0.938002961,0.20839503,4.58,Rattus,fuscipes,133,Y
Tokudaia_osimensis,Tokudaia_osimensis,T,"13 specimens that were collected on northern Okinawa in a thick, shrubby forest about three meters high with an undergrowth of coarse grasses and brake ferns. ","Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 804",2,,,"Amami-Oshima, Tokuno-Shima, and Okinawa in the Ryukyu Islands south of Japan",,,,7,,265.3,151,114.3,0.430833019,30.7,22.2,101.225,0.756953642,0.203311258,NA,Tokudaia,osimensis,117.8,Y
Arvicanthis_niloticus,Arvicanthis_niloticus,C,Nests on the surface or in shallow burrows. Intensively uses runways radiating out from the nest through matted grass. Can become arboreal during the dry season when other resources are scarce,"Kingdon, Mammals of Africa p. 388",1,,,Africa,,,,8,,289.3,158.8,130.5,0.451088835,31,20,101.95,0.821788413,0.195214106,4.93,Arvicanthis,niloticus,108.1,Y
Niviventer_excelsior,Niviventer_excelsior,C,inhabits high elevation montane forests. ELton Traits,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 833 / Smith and Xie, A Guide to the Mammals of China p. 268",,,,central China,,,,7,,354.6,152.5,202.1,0.569937958,32,24.5,102,1.325245902,0.209836066,NA,Niviventer,excelsior,102,Y
Niviventer_tenaster,Niviventer_tenaster,T,"Mainly active on ground, vines and fallen logs","Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 833 / Francis, A Guide to the Mammals of Southeast Asia p. 361",1,,,"Assam, Burma, Vietnam/ Hainan Island",,,,2,,360,155,205,0.569444444,33.5,24.5,103,1.322580645,0.216129032,3.7,Niviventer,tenaster,103,Y
Arvicanthis_rufinus,Arvicanthis_rufinus,T,Habitat: grassland and open clearings in Ranforest BZ,"Kingdon, Mammals of Africa p. 389",2,,,Africa,,,,8,,282,143.8,138.2,0.490070922,32.7,19.8,103.3,0.961057024,0.227399166,4.86,Arvicanthis,rufinus,103.3,N
Paucidentomys_vermidax,Paucidentomys_vermidax,T,"Earthworm specialist, caught in pitfalls, hard to imagine anything but entirely terrestrial","Esselstyn, Achmadi, Rowe 2012",2,,,Sulawesi,2,,1,4,,362.5,163.5,199,0.548965517,37.5,21.5,103.5,1.217125382,0.229357798,NA,Paucidentomys,vermidax,103.5,Y
Chrotomys_sibuyanensis,Chrotomys_sibuyanensis,T,"caught on ground, diurnal , body suggests vermivory like other congeners",Rickart et al. 2005,2,,,Philippines,1,,2,9,,242,160,82,0.338842975,34,19,104,0.5125,0.2125,NA,Chrotomys,sibuyanensis,104,Y
Otomys_angoniensis,Otomys_angoniensis,T,Burrows through runways in dense swampy habitats,"Kingdon, Mammals of Africa p. 578",2,,,Africa,,,,8,,299,220,79,0.264214047,25.5,19.5,104.12,0.359090909,0.115909091,2.59,Otomys,angoniensis,107.6,Y
Otomys_unisulcatus,Otomys_unisulcatus,T,Terrestrial. / utilizes dry habitat,"Kingdon, Mammals of Africa p. 594 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 721",2,,,Africa,,,,8,,252,158,94,0.373015873,29,24,105,0.594936709,0.183544304,NA,Otomys,unisulcatus,105,Y
Chiruromys_forbesi,Chiruromys_forbesi,A,"Roosts high up in tree hollows ~10 metres above ground/ Completely arboreal, nest in hollow trees, and probably do all their foraging in the forest canopy","Flannery, Mammals of New Guniea p.268 / Flannery, Mammals of the South-West Pacific & Moluccan Islands p. 124 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 804",1,,Second locomotor mode note general about genus,New Guinea and surrounding islands,3,1,1,5,,371.3,153,218.3,0.587934285,32.1,18.5,105.575,1.426797386,0.209803922,2.68,Chiruromys,forbesi,106,N
Mastomys_kollmannspergeri,Mastomys_kollmannspergeri,T,seasonally flooded plains or arid savannahs with dessication cracks,"Kingdon, Mammals of Africa p. 467",2,,,Africa,,,,8,,260,142,118,0.453846154,27.2,18.1,105.9,0.830985916,0.191549296,NA,Mastomys,kollmannspergeri,105.9,Y
Pithecheir_parvus,Pithecheir_parvus,A,"The hindfoot is modified for arboreal life. The first toe on the hindfoot is thumblike and opposable. The tail is prehensile, the tail is used for grasping as the animals climb and scamper about limbs and branches / Largely arboreal","Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 769 / Francis, A Guide to the Mammals of Southeast Asia p. 368 / Pimsai et al Leopoldamys etc",1,,Locomotor Mode Notes were general for the genus,Malay Peninsula,,,,3,,357,164,193,0.540616247,28,,106,1.176829268,0.170731707,2,Pithecheir,parvus,106,N
Bunomys_chrysocomus,Bunomys_chrysocomus,T,"terrestrial, invertabrate feeder","Systematic revision of Bunomys, Musser, 2014",2,,measurements were averaged across all localities from reference,Sulawesi,2,,2,4,,301,160,141,0.468438538,34.8,22.7,106.045,0.88125,0.2175,NA,Bunomys,chrysocomus,100.8,Y
Rattus_baluensis,Rattus_baluensis,T,Elton Traits,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 787",,,,northern Borneo,,,,3,,358.5,170.2,188.3,0.525244073,32.4,,107.5,1.106345476,0.190364277,NA,Rattus,baluensis,108.75,N
Rattus_lutreolus,Rattus_lutreolus,T,"Can swim but tires within minutes, swimming appears to be no more than a means of reaching refuge vegetation when floodwaters cover the preferred habitats. Although such habitats are usually swampy, they are often dry and, at such times, the Swamp Rat could well be described as a rodent of heath, grass, or sedge.","Strahan, Complete Book of Australian Mammals p. 447 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 787 / Rowe et al 2011 Rattus",2,,,Australia/ Tasmania,3,,2,6,,271.95,158.45,113.5,0.417356132,30,20,107.5,0.716314295,0.189334175,4.68,Rattus,lutreolus,106,Y
Aethomys_ineptus,Aethomys_ineptus,T,"Habitat is grassland, shrubs, and rocks where there is thick ground cover/ terrestrial","Kingdon, Mammals of Africa p. 370 / Taylor, P.J. & Coetzee, N. 2008. Aethomys ineptus. The IUCN Red List of Threatened Species 2008: e.T44990A10960032. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T44990A10960032.en.",2,,,Africa,,,,8,,309,147,162,0.524271845,30,20,107.58,1.102040816,0.204081633,3.345,Aethomys,ineptus,82,Y
Paramelomys_platyops,Paramelomys_platyops,T,largely terrestrial / trapped in shrubs along a creek / Elton Traits,"Flannery, Mammals of New Guniea p.308 / Flannery, Mammals of the South-West Pacific & Moluccan Islands p. 143",2,,Syn. Melomys platyops,"New Guinea / New Britain, Japen, Biak, D'Entrecasteaux Islands",3,,1,5,,282.7,170.2,112.5,0.397948355,30,17.3,107.8,0.660987074,0.17626322,1.955,Paramelomys,platyops,130,Y
Pithecheir_melanurus,Pithecheir_melanurus,A,"The hindfoot is modified for arboreal life. The first toe on the hindfoot is thumblike and opposable. The tail is prehensile, the tail is used for grasping as the animals climb and scamper about limbs and branches","Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 769",1,,Locomotor Mode Notes were general for the genus,"Java, Malay Peninsula, Sumatra ",,,,3,,369,167.5,201.5,0.546070461,30,,108,1.202985075,0.179104478,NA,Pithecheir,melanurus,108,Y
Apomys_lubangensis,Apomys_lubangensis,T,"All were captured on the ground, never in trees",Heaney Lubang 2014,2,,,"Lubang, Philippines",1,,2,9,,291,151,140,0.481099656,40,24,110,0.927152318,0.264900662,NA,Apomys,lubangensis,110,Y
Apomys_magnus,Apomys_magnus,T,All were captured on the ground surface (not in trees),"Heany, The Mammals of Luzon Island pg. 147",2,,,Philippines,1,,2,9,,288.5,145,143.5,0.497400347,39,22,110,0.989655172,0.268965517,NA,Apomys,magnus,110,Y
Mylomys_dybowskii,Mylomys_dybowskii,T,"Terrestrial. Probably fast-running and leaping, as suggested by the rather short forefeet and the long hindfeet, which bear three long central toes with long claws. Do not use burrows and their grass nests are usually on the ground.","Kingdon, Mammals of Africa p. 501",2,,,Africa,,,,8,,338.2,198.4,139.8,0.413364873,34.6,18.3,110.48,0.704637097,0.174395161,4.04,Mylomys,dybowskii,110,Y
Pogonomelomys_mayeri,Pogonomelomys_mayeri,A,nests and feeds in trees,"Flannery, Mammals of New Guniea p.314",1,,,New Guinea,3,,1,5,,336,147,189,0.5625,29.3,13.5,110.835,1.285714286,0.199319728,2.15,Pogonomelomys,mayeri,109.7,Y
Melomys_rubicola,Melomys_rubicola,T,lives on cay containing only low lying vegetation,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 811 / Van Dyck and Strahan, The Mammals of Australia 3rd edition",2,,,Bramble Cay off south-central New Guinea,3,,1,5,,327,157,170,0.519877676,,,111,1.082802548,0,2.35,Melomys,rubicola,122,Y
