loci	withRef_len	noRef_len
ENSMUSG00000031354.phy	470	470
ENSMUSG00000031357.phy	458	470
ENSMUSG00000031358.phy	2361	2382
ENSMUSG00000031360.phy	1015	4178
ENSMUSG00000031364.phy	1091	1094
ENSMUSG00000031365.phy	262	260
ENSMUSG00000031370.phy	165	164
ENSMUSG00000031371.phy	895	709
ENSMUSG00000031372.phy	985	984
ENSMUSG00000031375.phy	3109	2620
ENSMUSG00000031376.phy	5527	5582
ENSMUSG00000031377.phy	1696	358
ENSMUSG00000031378.phy	4091	4116
ENSMUSG00000031379.phy	175	410
ENSMUSG00000031380.phy	2526	2505
ENSMUSG00000031381.phy	3096	3467
ENSMUSG00000031383.phy	1515	1508
ENSMUSG00000031385.phy	11373	11376
ENSMUSG00000031386.phy	7810	7812
ENSMUSG00000031387.phy	1573	1591
ENSMUSG00000031388.phy	2473	2400
ENSMUSG00000031389.phy	299	297
ENSMUSG00000031390.phy	1281	4142
ENSMUSG00000031391.phy	6781	6777
ENSMUSG00000031392.phy	4468	4808
ENSMUSG00000031393.phy	1517	1549
ENSMUSG00000031394.phy	592	593
ENSMUSG00000031397.phy	509	488
ENSMUSG00000031398.phy	10636	12178
ENSMUSG00000031399.phy	1078	1111
ENSMUSG00000031411.phy	2519	2486
ENSMUSG00000031422.phy	917	897
ENSMUSG00000031425.phy	1475	1437
ENSMUSG00000031430.phy	916	937
ENSMUSG00000031433.phy	547	532
ENSMUSG00000031438.phy	1978	2179
ENSMUSG00000031441.phy	4054	4075
ENSMUSG00000031442.phy	3849	3912
ENSMUSG00000031443.phy	3007	3040
ENSMUSG00000031445.phy	201	202
ENSMUSG00000031446.phy	7986	3348
ENSMUSG00000031447.phy	412	2043
ENSMUSG00000031448.phy	1171	1184
ENSMUSG00000031449.phy	513	477
ENSMUSG00000031450.phy	2937	3363
ENSMUSG00000031451.phy	2160	1166
ENSMUSG00000031452.phy	1300	1282
ENSMUSG00000031453.phy	486	485
ENSMUSG00000031458.phy	817	819
ENSMUSG00000031461.phy	7792	7312
ENSMUSG00000031465.phy	1704	1734
ENSMUSG00000031467.phy	2080	380
ENSMUSG00000031478.phy	1752	1756
ENSMUSG00000031479.phy	1239	1256
ENSMUSG00000031480.phy	3329	3299
ENSMUSG00000031482.phy	568	1013
ENSMUSG00000031483.phy	3511	3014
ENSMUSG00000031485.phy	654	645
ENSMUSG00000031486.phy	7248	7232
ENSMUSG00000031487.phy	410	1646
ENSMUSG00000031489.phy	520	513
ENSMUSG00000031490.phy	553	540
ENSMUSG00000031491.phy	1959	1950
ENSMUSG00000031492.phy	1046	1138
ENSMUSG00000031493.phy	135	130
ENSMUSG00000031494.phy	1405	1424
ENSMUSG00000031495.phy	1268	219
ENSMUSG00000031497.phy	1812	1902
ENSMUSG00000031502.phy	14146	14241
ENSMUSG00000031503.phy	3082	6926
ENSMUSG00000031505.phy	1080	1116
ENSMUSG00000031506.phy	1043	1055
ENSMUSG00000031508.phy	1139	1109
ENSMUSG00000031511.phy	2744	2755
ENSMUSG00000031513.phy	1750	1132
ENSMUSG00000031517.phy	172	519
ENSMUSG00000031518.phy	904	921
ENSMUSG00000031519.phy	481	703
ENSMUSG00000031520.phy	1631	1636
ENSMUSG00000031521.phy	2067	2057
ENSMUSG00000031527.phy	508	513
ENSMUSG00000031529.phy	2929	3005
ENSMUSG00000031530.phy	1844	524
ENSMUSG00000031532.phy	416	1223
ENSMUSG00000031533.phy	2591	2548
ENSMUSG00000031534.phy	328	289
ENSMUSG00000031535.phy	647	648
ENSMUSG00000031536.phy	459	490
ENSMUSG00000031537.phy	8647	2997
ENSMUSG00000031539.phy	1690	1705
ENSMUSG00000031540.phy	8088	7939
ENSMUSG00000031543.phy	17428	3592
ENSMUSG00000031545.phy	1949	496
ENSMUSG00000031546.phy	504	507
ENSMUSG00000031551.phy	833	832
ENSMUSG00000031552.phy	488	487
ENSMUSG00000031555.phy	3283	4854
ENSMUSG00000031556.phy	419	450
ENSMUSG00000031557.phy	1880	3222
ENSMUSG00000031558.phy	16944	16899
ENSMUSG00000031561.phy	13645	15851
ENSMUSG00000031562.phy	512	837
ENSMUSG00000031563.phy	1046	1060
ENSMUSG00000031565.phy	6028	6862
ENSMUSG00000031568.phy	657	688
ENSMUSG00000031570.phy	2564	2547
ENSMUSG00000031574.phy	447	442
ENSMUSG00000031575.phy	292	280
ENSMUSG00000031576.phy	2693	3068
ENSMUSG00000031577.phy	2212	1428
ENSMUSG00000031578.phy	1705	1747
ENSMUSG00000031583.phy	10290	4621
ENSMUSG00000031585.phy	1276	3312
ENSMUSG00000031586.phy	715	554
ENSMUSG00000031590.phy	553	545
ENSMUSG00000031591.phy	607	559
ENSMUSG00000031592.phy	7964	14853
ENSMUSG00000031594.phy	1647	1006
ENSMUSG00000031595.phy	636	634
ENSMUSG00000031596.phy	6568	5654
ENSMUSG00000031600.phy	981	991
ENSMUSG00000031601.phy	257	252
ENSMUSG00000031603.phy	459	457
ENSMUSG00000031604.phy	1431	1436
ENSMUSG00000031605.phy	620	617
ENSMUSG00000031608.phy	1579	1559
ENSMUSG00000031609.phy	1321	1336
ENSMUSG00000031610.phy	291	344
ENSMUSG00000031613.phy	1972	1899
ENSMUSG00000031616.phy	1354	1430
ENSMUSG00000031618.phy	7109	7064
ENSMUSG00000031621.phy	808	1033
ENSMUSG00000031626.phy	11745	10294
ENSMUSG00000031627.phy	594	608
ENSMUSG00000031628.phy	345	788
ENSMUSG00000031631.phy	2827	1812
ENSMUSG00000031633.phy	2006	2111
ENSMUSG00000031634.phy	1506	1126
ENSMUSG00000031635.phy	3265	806
ENSMUSG00000031637.phy	938	920
ENSMUSG00000031639.phy	3345	1351
ENSMUSG00000031641.phy	807	812
ENSMUSG00000031642.phy	2184	2172
ENSMUSG00000031644.phy	4692	4818
ENSMUSG00000031645.phy	1193	1182
ENSMUSG00000031651.phy	2573	1808
ENSMUSG00000031652.phy	2343	3283
ENSMUSG00000031654.phy	825	825
ENSMUSG00000031657.phy	886	893
ENSMUSG00000031659.phy	7120	7115
ENSMUSG00000031660.phy	6296	4156
ENSMUSG00000031661.phy	1590	1683
ENSMUSG00000031662.phy	885	889
ENSMUSG00000031665.phy	3522	3496
ENSMUSG00000031666.phy	667	670
ENSMUSG00000031667.phy	1794	1827
ENSMUSG00000031668.phy	3007	3018
ENSMUSG00000031669.phy	614	691
ENSMUSG00000031671.phy	1879	1867
ENSMUSG00000031672.phy	414	367
ENSMUSG00000031673.phy	1938	1940
ENSMUSG00000031681.phy	569	3495
ENSMUSG00000031684.phy	665	552
ENSMUSG00000031691.phy	6468	6480
ENSMUSG00000031697.phy	2883	2138
ENSMUSG00000031698.phy	943	4415
ENSMUSG00000031701.phy	423	412
ENSMUSG00000031703.phy	3199	3259
ENSMUSG00000031706.phy	783	784
ENSMUSG00000031708.phy	2487	2423
ENSMUSG00000031709.phy	6636	2222
ENSMUSG00000031711.phy	1094	2389
ENSMUSG00000031712.phy	801	791
ENSMUSG00000031714.phy	2935	3167
ENSMUSG00000031722.phy	1821	1795
ENSMUSG00000031723.phy	278	260
ENSMUSG00000031727.phy	1482	305
ENSMUSG00000031728.phy	2871	983
ENSMUSG00000031729.phy	2258	1327
ENSMUSG00000031730.phy	841	829
ENSMUSG00000031732.phy	2764	2781
ENSMUSG00000031737.phy	1083	1073
ENSMUSG00000031738.phy	1767	767
ENSMUSG00000031740.phy	1340	1334
ENSMUSG00000031749.phy	3022	3103
ENSMUSG00000031750.phy	2140	2109
ENSMUSG00000031751.phy	2107	2107
ENSMUSG00000031753.phy	4313	4313
ENSMUSG00000031754.phy	1433	514
ENSMUSG00000031755.phy	2928	2947
ENSMUSG00000031757.phy	1011	272
ENSMUSG00000031758.phy	2584	2596
ENSMUSG00000031766.phy	1193	1253
ENSMUSG00000031770.phy	2938	780
ENSMUSG00000031772.phy	3184	3348
ENSMUSG00000031774.phy	324	378
ENSMUSG00000031775.phy	233	233
ENSMUSG00000031776.phy	147	152
ENSMUSG00000031778.phy	889	866
ENSMUSG00000031779.phy	1358	1347
ENSMUSG00000031781.phy	2359	1542
ENSMUSG00000031782.phy	3730	3706
ENSMUSG00000031783.phy	1463	1457
ENSMUSG00000031785.phy	1002	1793
ENSMUSG00000031786.phy	4448	6490
ENSMUSG00000031787.phy	3020	3054
ENSMUSG00000031788.phy	954	832
ENSMUSG00000031789.phy	8054	8173
ENSMUSG00000031790.phy	952	1071
ENSMUSG00000031791.phy	320	297
ENSMUSG00000031792.phy	337	3338
ENSMUSG00000031796.phy	1868	1970
ENSMUSG00000031799.phy	1100	2329
ENSMUSG00000031803.phy	1137	1120
ENSMUSG00000031805.phy	7129	7152
ENSMUSG00000031807.phy	1463	837
ENSMUSG00000031808.phy	3831	3904
ENSMUSG00000031809.phy	185	312
ENSMUSG00000031813.phy	534	2210
ENSMUSG00000031816.phy	2127	2095
ENSMUSG00000031818.phy	170	292
ENSMUSG00000031819.phy	1747	1770
ENSMUSG00000031820.phy	1609	1612
ENSMUSG00000031821.phy	118	105
ENSMUSG00000031822.phy	4435	5775
ENSMUSG00000031823.phy	359	366
ENSMUSG00000031824.phy	142	145
ENSMUSG00000031826.phy	773	4116
ENSMUSG00000031827.phy	825	828
ENSMUSG00000031828.phy	1069	1069
ENSMUSG00000031831.phy	411	401
ENSMUSG00000031832.phy	387	348
ENSMUSG00000031833.phy	6230	6250
ENSMUSG00000031834.phy	3878	3881
ENSMUSG00000031835.phy	586	673
ENSMUSG00000031837.phy	1881	1898
ENSMUSG00000031839.phy	1157	387
ENSMUSG00000031840.phy	1812	1913
ENSMUSG00000031841.phy	5894	6090
ENSMUSG00000031842.phy	2312	1198
ENSMUSG00000031844.phy	1468	1244
ENSMUSG00000031845.phy	3136	1001
ENSMUSG00000031847.phy	1090	1096
ENSMUSG00000031848.phy	962	950
ENSMUSG00000031849.phy	3605	3613
ENSMUSG00000031851.phy	394	378
ENSMUSG00000031853.phy	326	2227
ENSMUSG00000031858.phy	1037	1043
ENSMUSG00000031860.phy	831	824
ENSMUSG00000031861.phy	835	837
ENSMUSG00000031862.phy	8609	8568
ENSMUSG00000031864.phy	5406	367
ENSMUSG00000031865.phy	787	3237
ENSMUSG00000031870.phy	3486	3490
ENSMUSG00000031871.phy	3057	2363
ENSMUSG00000031875.phy	959	954
ENSMUSG00000031877.phy	2775	5219
ENSMUSG00000031878.phy	5056	6837
ENSMUSG00000031879.phy	1495	1505
ENSMUSG00000031880.phy	1354	1285
ENSMUSG00000031881.phy	4619	4631
ENSMUSG00000031883.phy	1697	2373
ENSMUSG00000031887.phy	658	659
ENSMUSG00000031889.phy	297	5887
ENSMUSG00000031891.phy	914	898
ENSMUSG00000031893.phy	609	3020
ENSMUSG00000031896.phy	1116	1100
ENSMUSG00000031897.phy	1452	1457
ENSMUSG00000031898.phy	2408	2797
ENSMUSG00000031901.phy	5881	5399
ENSMUSG00000031902.phy	3029	3036
ENSMUSG00000031903.phy	1770	1737
ENSMUSG00000031904.phy	1765	3466
ENSMUSG00000031906.phy	921	928
ENSMUSG00000031907.phy	2706	2693
ENSMUSG00000031910.phy	1609	1719
ENSMUSG00000031913.phy	1797	2064
ENSMUSG00000031916.phy	1454	2882
ENSMUSG00000031917.phy	776	492
ENSMUSG00000031918.phy	609	609
ENSMUSG00000031919.phy	637	635
ENSMUSG00000031921.phy	596	1932
ENSMUSG00000031922.phy	4474	4466
ENSMUSG00000031924.phy	497	505
ENSMUSG00000031928.phy	3797	8585
ENSMUSG00000031930.phy	8557	5416
ENSMUSG00000031932.phy	1163	1164
ENSMUSG00000031934.phy	669	1341
ENSMUSG00000031935.phy	456	471
ENSMUSG00000031936.phy	8451	8474
ENSMUSG00000031938.phy	410	449
ENSMUSG00000031948.phy	1193	1262
ENSMUSG00000031949.phy	566	1556
ENSMUSG00000031951.phy	640	673
ENSMUSG00000031953.phy	414	426
ENSMUSG00000031954.phy	666	182
ENSMUSG00000031955.phy	698	747
ENSMUSG00000031957.phy	756	378
ENSMUSG00000031958.phy	3155	3154
ENSMUSG00000031959.phy	3478	2180
ENSMUSG00000031960.phy	8909	8616
ENSMUSG00000031962.phy	2467	556
ENSMUSG00000031963.phy	1941	1897
ENSMUSG00000031965.phy	1716	3100
ENSMUSG00000031966.phy	493	501
ENSMUSG00000031967.phy	3775	2773
ENSMUSG00000031969.phy	1578	2399
ENSMUSG00000031971.phy	345	1559
ENSMUSG00000031972.phy	1629	2008
ENSMUSG00000031974.phy	2389	289
ENSMUSG00000031976.phy	5637	5623
ENSMUSG00000031979.phy	234	4457
ENSMUSG00000031980.phy	1301	1291
ENSMUSG00000031981.phy	5160	5170
ENSMUSG00000031982.phy	2208	2202
ENSMUSG00000031983.phy	863	858
ENSMUSG00000031985.phy	729	729
ENSMUSG00000031986.phy	1561	1491
ENSMUSG00000031988.phy	2052	2044
ENSMUSG00000031990.phy	2410	1391
ENSMUSG00000031991.phy	1720	406
ENSMUSG00000031993.phy	4032	3991
ENSMUSG00000031994.phy	4920	5040
ENSMUSG00000031995.phy	1003	1011
ENSMUSG00000031996.phy	573	2123
ENSMUSG00000031997.phy	2899	2862
ENSMUSG00000032000.phy	739	2040
ENSMUSG00000032002.phy	2431	550
ENSMUSG00000032006.phy	515	1592
ENSMUSG00000032009.phy	3473	2178
ENSMUSG00000032010.phy	1152	1149
ENSMUSG00000032011.phy	1261	917
ENSMUSG00000032012.phy	1979	1979
ENSMUSG00000032013.phy	1505	1474
ENSMUSG00000032014.phy	744	723
ENSMUSG00000032015.phy	4124	1520
ENSMUSG00000032017.phy	3840	3844
ENSMUSG00000032018.phy	693	747
ENSMUSG00000032020.phy	2558	2590
ENSMUSG00000032023.phy	1854	1837
ENSMUSG00000032024.phy	700	245
ENSMUSG00000032026.phy	343	342
ENSMUSG00000032028.phy	1480	365
ENSMUSG00000032030.phy	9917	9999
ENSMUSG00000032033.phy	340	348
ENSMUSG00000032034.phy	1112	1321
ENSMUSG00000032035.phy	3383	975
ENSMUSG00000032036.phy	3539	3614
ENSMUSG00000032038.phy	4016	722
ENSMUSG00000032040.phy	1006	726
ENSMUSG00000032041.phy	734	906
ENSMUSG00000032042.phy	5120	4800
ENSMUSG00000032044.phy	2171	2523
ENSMUSG00000032046.phy	2914	4793
ENSMUSG00000032047.phy	3570	1019
ENSMUSG00000032050.phy	2333	856
ENSMUSG00000032051.phy	916	907
ENSMUSG00000032053.phy	1022	1028
ENSMUSG00000032056.phy	1643	1679
ENSMUSG00000032057.phy	584	1196
ENSMUSG00000032058.phy	7551	6422
ENSMUSG00000032060.phy	1716	1034
ENSMUSG00000032064.phy	921	7572
ENSMUSG00000032065.phy	1690	1276
ENSMUSG00000032066.phy	545	546
ENSMUSG00000032067.phy	201	197
ENSMUSG00000032076.phy	1964	1957
ENSMUSG00000032077.phy	2922	539
ENSMUSG00000032078.phy	616	3824
ENSMUSG00000032079.phy	1511	1511
ENSMUSG00000032085.phy	367	355
ENSMUSG00000032086.phy	4196	4142
ENSMUSG00000032087.phy	8512	8628
ENSMUSG00000032089.phy	260	453
ENSMUSG00000032092.phy	2019	2011
ENSMUSG00000032093.phy	302	298
ENSMUSG00000032096.phy	1065	1087
ENSMUSG00000032097.phy	441	437
ENSMUSG00000032098.phy	4292	4313
ENSMUSG00000032101.phy	4170	2296
ENSMUSG00000032103.phy	1045	1604
ENSMUSG00000032105.phy	2733	2675
ENSMUSG00000032109.phy	2341	2519
ENSMUSG00000032112.phy	2008	1889
ENSMUSG00000032114.phy	2644	1152
ENSMUSG00000032115.phy	2911	3095
ENSMUSG00000032116.phy	7192	6173
ENSMUSG00000032118.phy	704	730
ENSMUSG00000032119.phy	2154	2182
ENSMUSG00000032120.phy	4032	4029
ENSMUSG00000032121.phy	635	1077
ENSMUSG00000032122.phy	5955	5874
ENSMUSG00000032123.phy	2336	2376
ENSMUSG00000032126.phy	2987	3007
ENSMUSG00000032127.phy	2594	6510
ENSMUSG00000032128.phy	10678	3674
ENSMUSG00000032131.phy	2717	5666
ENSMUSG00000032135.phy	3861	3871
ENSMUSG00000032172.phy	2126	1834
ENSMUSG00000032174.phy	2720	1832
ENSMUSG00000032175.phy	1785	3325
ENSMUSG00000032177.phy	6482	6377
ENSMUSG00000032178.phy	9205	8698
ENSMUSG00000032180.phy	543	539
ENSMUSG00000032181.phy	5136	5076
ENSMUSG00000032182.phy	2696	2703
ENSMUSG00000032185.phy	5356	6327
ENSMUSG00000032186.phy	1435	853
ENSMUSG00000032187.phy	4245	4266
ENSMUSG00000032192.phy	1017	963
ENSMUSG00000032193.phy	3317	3324
ENSMUSG00000032194.phy	400	667
ENSMUSG00000032198.phy	8192	8206
ENSMUSG00000032202.phy	1424	1446
ENSMUSG00000032207.phy	890	789
ENSMUSG00000032212.phy	3678	3726
ENSMUSG00000032215.phy	323	231
ENSMUSG00000032216.phy	2899	3055
ENSMUSG00000032217.phy	4798	4207
ENSMUSG00000032220.phy	4832	4840
ENSMUSG00000032221.phy	1047	1081
ENSMUSG00000032224.phy	395	395
ENSMUSG00000032228.phy	2596	7604
ENSMUSG00000032231.phy	345	317
ENSMUSG00000032232.phy	3998	3594
ENSMUSG00000032235.phy	8312	8347
ENSMUSG00000032238.phy	4142	1262
ENSMUSG00000032243.phy	13030	4849
ENSMUSG00000032245.phy	709	717
ENSMUSG00000032246.phy	327	327
ENSMUSG00000032249.phy	525	1932
ENSMUSG00000032251.phy	716	570
ENSMUSG00000032252.phy	866	867
ENSMUSG00000032253.phy	4767	2106
ENSMUSG00000032254.phy	6241	6712
ENSMUSG00000032257.phy	1203	1092
ENSMUSG00000032258.phy	1800	1800
ENSMUSG00000032259.phy	2129	2135
ENSMUSG00000032261.phy	1124	1250
ENSMUSG00000032262.phy	241	244
ENSMUSG00000032263.phy	1490	1495
ENSMUSG00000032264.phy	1128	2223
ENSMUSG00000032265.phy	816	708
ENSMUSG00000032267.phy	6362	2528
ENSMUSG00000032268.phy	686	569
ENSMUSG00000032269.phy	1657	1753
ENSMUSG00000032271.phy	427	835
ENSMUSG00000032274.phy	2881	1482
ENSMUSG00000032278.phy	1889	1875
ENSMUSG00000032279.phy	597	587
ENSMUSG00000032280.phy	8370	8343
ENSMUSG00000032281.phy	6363	6082
ENSMUSG00000032288.phy	754	672
ENSMUSG00000032290.phy	1387	1376
ENSMUSG00000032291.phy	1367	1326
ENSMUSG00000032292.phy	1009	1015
ENSMUSG00000032293.phy	2649	9754
ENSMUSG00000032295.phy	8034	8015
ENSMUSG00000032297.phy	3644	3476
ENSMUSG00000032298.phy	2345	2852
ENSMUSG00000032299.phy	1998	2150
ENSMUSG00000032300.phy	861	887
ENSMUSG00000032301.phy	2821	2753
ENSMUSG00000032303.phy	2172	2184
ENSMUSG00000032305.phy	1557	1459
ENSMUSG00000032306.phy	3629	3942
ENSMUSG00000032307.phy	7310	1929
ENSMUSG00000032308.phy	3375	3164
ENSMUSG00000032309.phy	1190	1216
ENSMUSG00000032310.phy	846	847
ENSMUSG00000032311.phy	1679	199
ENSMUSG00000032312.phy	3225	3422
ENSMUSG00000032313.phy	2729	546
ENSMUSG00000032314.phy	2579	479
ENSMUSG00000032315.phy	1605	1589
ENSMUSG00000032318.phy	620	1415
ENSMUSG00000032320.phy	1900	2653
ENSMUSG00000032322.phy	655	2745
ENSMUSG00000032323.phy	4292	4251
ENSMUSG00000032324.phy	1126	1115
ENSMUSG00000032327.phy	5245	831
ENSMUSG00000032328.phy	3394	3440
ENSMUSG00000032329.phy	3470	3470
ENSMUSG00000032330.phy	175	851
ENSMUSG00000032332.phy	14894	15223
ENSMUSG00000032333.phy	2671	2659
ENSMUSG00000032334.phy	1659	1686
ENSMUSG00000032338.phy	4641	4627
ENSMUSG00000032342.phy	4376	1816
ENSMUSG00000032343.phy	2710	1139
ENSMUSG00000032344.phy	1858	708
ENSMUSG00000032348.phy	289	674
ENSMUSG00000032349.phy	2271	2265
ENSMUSG00000032350.phy	3759	3570
ENSMUSG00000032352.phy	1576	3476
ENSMUSG00000032353.phy	881	848
ENSMUSG00000032356.phy	1445	1460
ENSMUSG00000032357.phy	3687	3630
ENSMUSG00000032358.phy	3667	3671
ENSMUSG00000032360.phy	1632	1627
ENSMUSG00000032368.phy	114	1561
ENSMUSG00000032369.phy	1668	1692
ENSMUSG00000032370.phy	1980	1980
ENSMUSG00000032373.phy	3663	594
ENSMUSG00000032374.phy	1055	975
ENSMUSG00000032376.phy	5448	5586
ENSMUSG00000032377.phy	1013	1037
ENSMUSG00000032380.phy	1455	1614
ENSMUSG00000032381.phy	975	656
ENSMUSG00000032382.phy	5577	5600
ENSMUSG00000032383.phy	237	1028
ENSMUSG00000032384.phy	6294	5865
ENSMUSG00000032386.phy	574	577
ENSMUSG00000032387.phy	549	1563
ENSMUSG00000032388.phy	1838	1859
ENSMUSG00000032393.phy	7164	3935
ENSMUSG00000032394.phy	1153	1062
ENSMUSG00000032396.phy	4144	4142
ENSMUSG00000032398.phy	723	163
ENSMUSG00000032399.phy	917	873
ENSMUSG00000032400.phy	669	643
ENSMUSG00000032402.phy	1710	1675
ENSMUSG00000032403.phy	576	452
ENSMUSG00000032405.phy	3264	3266
ENSMUSG00000032407.phy	9712	1878
ENSMUSG00000032409.phy	17269	17374
ENSMUSG00000032410.phy	12408	12729
ENSMUSG00000032411.phy	3167	3175
ENSMUSG00000032412.phy	614	591
ENSMUSG00000032413.phy	8824	8906
ENSMUSG00000032415.phy	2242	2239
ENSMUSG00000032418.phy	1846	1761
ENSMUSG00000032419.phy	1059	1183
ENSMUSG00000032420.phy	4104	4702
ENSMUSG00000032423.phy	1208	1250
ENSMUSG00000032425.phy	757	948
ENSMUSG00000032434.phy	320	310
ENSMUSG00000032435.phy	1483	1485
ENSMUSG00000032436.phy	244	252
ENSMUSG00000032437.phy	5966	2066
ENSMUSG00000032440.phy	1049	1686
ENSMUSG00000032446.phy	2984	3070
ENSMUSG00000032449.phy	3587	165
ENSMUSG00000032451.phy	2788	2786
ENSMUSG00000032452.phy	9134	5475
ENSMUSG00000032454.phy	342	323
ENSMUSG00000032456.phy	622	605
ENSMUSG00000032459.phy	2479	2511
ENSMUSG00000032468.phy	2626	2603
ENSMUSG00000032469.phy	334	330
ENSMUSG00000032470.phy	833	836
ENSMUSG00000032473.phy	1148	1134
ENSMUSG00000032475.phy	1077	1976
ENSMUSG00000032477.phy	4639	4412
ENSMUSG00000032478.phy	334	343
ENSMUSG00000032480.phy	6218	6225
ENSMUSG00000032481.phy	619	617
ENSMUSG00000032482.phy	2503	2462
ENSMUSG00000032485.phy	6871	6880
ENSMUSG00000032487.phy	4041	4006
ENSMUSG00000032489.phy	8858	8794
ENSMUSG00000032492.phy	503	918
ENSMUSG00000032493.phy	2622	2547
ENSMUSG00000032494.phy	496	443
ENSMUSG00000032495.phy	1355	1361
ENSMUSG00000032497.phy	1455	1468
ENSMUSG00000032498.phy	914	2258
ENSMUSG00000032500.phy	2358	2363
ENSMUSG00000032501.phy	261	296
ENSMUSG00000032502.phy	2676	2583
ENSMUSG00000032503.phy	5985	1262
ENSMUSG00000032504.phy	2148	1938
ENSMUSG00000032507.phy	393	417
ENSMUSG00000032508.phy	1138	1521
ENSMUSG00000032511.phy	13773	13662
ENSMUSG00000032512.phy	4447	7939
ENSMUSG00000032513.phy	2175	2577
ENSMUSG00000032514.phy	3179	4775
ENSMUSG00000032515.phy	1323	1321
ENSMUSG00000032518.phy	251	225
ENSMUSG00000032519.phy	888	919
ENSMUSG00000032523.phy	3750	3439
ENSMUSG00000032525.phy	6230	6229
ENSMUSG00000032526.phy	401	445
ENSMUSG00000032527.phy	2366	2359
ENSMUSG00000032530.phy	670	675
ENSMUSG00000032531.phy	1989	818
ENSMUSG00000032532.phy	828	696
ENSMUSG00000032534.phy	1313	1186
ENSMUSG00000032536.phy	750	750
ENSMUSG00000032537.phy	7977	7935
ENSMUSG00000032540.phy	2250	2185
ENSMUSG00000032547.phy	621	568
ENSMUSG00000032548.phy	811	829
ENSMUSG00000032549.phy	1007	544
ENSMUSG00000032551.phy	405	426
ENSMUSG00000032556.phy	2299	2321
ENSMUSG00000032557.phy	2047	3340
ENSMUSG00000032558.phy	6285	6268
ENSMUSG00000032560.phy	3889	3520
ENSMUSG00000032561.phy	1573	856
ENSMUSG00000032562.phy	416	418
ENSMUSG00000032563.phy	292	292
ENSMUSG00000032564.phy	2539	3225
ENSMUSG00000032565.phy	811	819
ENSMUSG00000032566.phy	504	491
ENSMUSG00000032567.phy	1644	1640
ENSMUSG00000032570.phy	2920	2772
ENSMUSG00000032571.phy	2120	5913
ENSMUSG00000032575.phy	1171	1125
ENSMUSG00000032577.phy	3217	494
ENSMUSG00000032578.phy	1257	1260
ENSMUSG00000032579.phy	894	983
ENSMUSG00000032582.phy	6612	6630
ENSMUSG00000032583.phy	1509	1509
ENSMUSG00000032584.phy	5198	5203
ENSMUSG00000032586.phy	3950	3039
ENSMUSG00000032589.phy	11224	11275
ENSMUSG00000032590.phy	3530	3202
ENSMUSG00000032591.phy	3874	3877
ENSMUSG00000032594.phy	970	1792
ENSMUSG00000032596.phy	6596	6491
ENSMUSG00000032598.phy	3349	3758
ENSMUSG00000032599.phy	3938	3922
ENSMUSG00000032601.phy	1898	4678
ENSMUSG00000032602.phy	3054	3057
ENSMUSG00000032604.phy	2306	1567
ENSMUSG00000032606.phy	2071	2384
ENSMUSG00000032607.phy	2426	2456
ENSMUSG00000032609.phy	992	1498
ENSMUSG00000032611.phy	1154	1085
ENSMUSG00000032612.phy	1537	1612
ENSMUSG00000032615.phy	242	250
ENSMUSG00000032624.phy	5217	5231
ENSMUSG00000032625.phy	7032	3896
ENSMUSG00000032633.phy	989	1131
ENSMUSG00000032637.phy	6636	6628
ENSMUSG00000032640.phy	3381	3355
ENSMUSG00000032641.phy	1693	1590
ENSMUSG00000032643.phy	1475	1464
ENSMUSG00000032648.phy	849	887
ENSMUSG00000032649.phy	1717	4763
ENSMUSG00000032652.phy	817	835
ENSMUSG00000032657.phy	2542	2628
ENSMUSG00000032666.phy	702	1542
ENSMUSG00000032667.phy	1866	2647
ENSMUSG00000032671.phy	432	458
ENSMUSG00000032673.phy	175	223
ENSMUSG00000032688.phy	1426	4742
ENSMUSG00000032691.phy	1782	1755
ENSMUSG00000032698.phy	1667	1444
ENSMUSG00000032702.phy	3241	3246
ENSMUSG00000032705.phy	3537	3548
ENSMUSG00000032714.phy	778	686
ENSMUSG00000032715.phy	621	638
ENSMUSG00000032717.phy	754	254
ENSMUSG00000032719.phy	988	990
ENSMUSG00000032724.phy	7811	7811
ENSMUSG00000032725.phy	362	760
ENSMUSG00000032726.phy	497	185
ENSMUSG00000032727.phy	488	744
ENSMUSG00000032735.phy	4785	4808
ENSMUSG00000032739.phy	1893	3620
ENSMUSG00000032743.phy	5568	13574
ENSMUSG00000032744.phy	421	1334
ENSMUSG00000032754.phy	1513	1447
ENSMUSG00000032757.phy	1260	1268
ENSMUSG00000032763.phy	1893	1902
ENSMUSG00000032769.phy	6136	6138
ENSMUSG00000032776.phy	1141	1137
ENSMUSG00000032777.phy	9564	17562
ENSMUSG00000032782.phy	1049	1157
ENSMUSG00000032786.phy	5156	5292
ENSMUSG00000032796.phy	6487	6206
ENSMUSG00000032806.phy	1728	1728
ENSMUSG00000032807.phy	6169	4058
ENSMUSG00000032812.phy	11845	4790
ENSMUSG00000032816.phy	7318	7181
ENSMUSG00000032818.phy	16220	14372
ENSMUSG00000032826.phy	6677	10545
ENSMUSG00000032827.phy	711	737
ENSMUSG00000032834.phy	6187	4445
ENSMUSG00000032839.phy	4313	4263
ENSMUSG00000032840.phy	410	409
ENSMUSG00000032841.phy	2132	562
ENSMUSG00000032842.phy	1421	1429
ENSMUSG00000032849.phy	2466	1980
